unadjusted_close,ticker_symbol,datetime,split,dividend,backward_adj_close
172.28,AAPL,2018-01-02,1.0,0.0,40.43
172.24,AAPL,2018-01-03,1.0,0.0,40.42
173.04,AAPL,2018-01-04,1.0,0.0,40.61
175.0,AAPL,2018-01-05,1.0,0.0,41.07
174.36,AAPL,2018-01-08,1.0,0.0,40.92
174.32,AAPL,2018-01-09,1.0,0.0,40.91
174.28,AAPL,2018-01-10,1.0,0.0,40.9
175.28,AAPL,2018-01-11,1.0,0.0,41.13
177.08,AAPL,2018-01-12,1.0,0.0,41.55
176.2,AAPL,2018-01-16,1.0,0.0,41.35
179.12,AAPL,2018-01-17,1.0,0.0,42.03
179.28,AAPL,2018-01-18,1.0,0.0,42.07
178.48,AAPL,2018-01-19,1.0,0.0,41.88
177.0,AAPL,2018-01-22,1.0,0.0,41.53
177.04,AAPL,2018-01-23,1.0,0.0,41.54
174.24,AAPL,2018-01-24,1.0,0.0,40.89
171.12,AAPL,2018-01-25,1.0,0.0,40.16
171.52,AAPL,2018-01-26,1.0,0.0,40.25
167.96,AAPL,2018-01-29,1.0,0.0,39.41
166.96,AAPL,2018-01-30,1.0,0.0,39.18
167.44,AAPL,2018-01-31,1.0,0.0,39.29
167.8,AAPL,2018-02-01,1.0,0.0,39.38
160.52,AAPL,2018-02-02,1.0,0.0,37.67
156.48,AAPL,2018-02-05,1.0,0.0,36.72
163.04,AAPL,2018-02-06,1.0,0.0,38.26
159.56,AAPL,2018-02-07,1.0,0.0,37.44
155.16,AAPL,2018-02-08,1.0,0.0,36.41
156.4,AAPL,2018-02-09,1.0,0.63,36.85
162.72,AAPL,2018-02-12,1.0,0.0,38.34
164.36,AAPL,2018-02-13,1.0,0.0,38.72
167.36,AAPL,2018-02-14,1.0,0.0,39.43
173.0,AAPL,2018-02-15,1.0,0.0,40.76
172.44,AAPL,2018-02-16,1.0,0.0,40.63
171.84,AAPL,2018-02-20,1.0,0.0,40.49
171.08,AAPL,2018-02-21,1.0,0.0,40.31
172.52,AAPL,2018-02-22,1.0,0.0,40.65
175.52,AAPL,2018-02-23,1.0,0.0,41.35
178.96,AAPL,2018-02-26,1.0,0.0,42.16
178.4,AAPL,2018-02-27,1.0,0.0,42.03
178.12,AAPL,2018-02-28,1.0,0.0,41.97
175.0,AAPL,2018-03-01,1.0,0.0,41.23
176.2,AAPL,2018-03-02,1.0,0.0,41.51
176.84,AAPL,2018-03-05,1.0,0.0,41.67
176.68,AAPL,2018-03-06,1.0,0.0,41.63
175.04,AAPL,2018-03-07,1.0,0.0,41.24
176.96,AAPL,2018-03-08,1.0,0.0,41.69
180.0,AAPL,2018-03-09,1.0,0.0,42.41
181.72,AAPL,2018-03-12,1.0,0.0,42.81
