unadjusted_close,ticker_symbol,datetime,split,dividend,forward_adj_close
172.28,AAPL,2018-01-02,1.0,0.0,172.28
172.24,AAPL,2018-01-03,1.0,0.0,172.24
173.04,AAPL,2018-01-04,1.0,0.0,173.04
175.0,AAPL,2018-01-05,1.0,0.0,175.0
174.36,AAPL,2018-01-08,1.0,0.0,174.36
174.32,AAPL,2018-01-09,1.0,0.0,174.32
174.28,AAPL,2018-01-10,1.0,0.0,174.28
175.28,AAPL,2018-01-11,1.0,0.0,175.28
177.08,AAPL,2018-01-12,1.0,0.0,177.08
176.2,AAPL,2018-01-16,1.0,0.0,176.2
179.12,AAPL,2018-01-17,1.0,0.0,179.12
179.28,AAPL,2018-01-18,1.0,0.0,179.28
178.48,AAPL,2018-01-19,1.0,0.0,178.48
177.0,AAPL,2018-01-22,1.0,0.0,177.0
177.04,AAPL,2018-01-23,1.0,0.0,177.04
174.24,AAPL,2018-01-24,1.0,0.0,174.24
171.12,AAPL,2018-01-25,1.0,0.0,171.12
171.52,AAPL,2018-01-26,1.0,0.0,171.52
167.96,AAPL,2018-01-29,1.0,0.0,167.96
166.96,AAPL,2018-01-30,1.0,0.0,166.96
167.44,AAPL,2018-01-31,1.0,0.0,167.44
167.8,AAPL,2018-02-01,1.0,0.0,167.8
160.52,AAPL,2018-02-02,1.0,0.0,160.52
156.48,AAPL,2018-02-05,1.0,0.0,156.48
163.04,AAPL,2018-02-06,1.0,0.0,163.04
159.56,AAPL,2018-02-07,1.0,0.0,159.56
155.16,AAPL,2018-02-08,1.0,0.0,155.16
156.4,AAPL,2018-02-09,1.0,0.63,156.4
162.72,AAPL,2018-02-12,1.0,0.0,163.38
164.36,AAPL,2018-02-13,1.0,0.0,165.02
167.36,AAPL,2018-02-14,1.0,0.0,168.03
173.0,AAPL,2018-02-15,1.0,0.0,173.7
172.44,AAPL,2018-02-16,1.0,0.0,173.13
171.84,AAPL,2018-02-20,1.0,0.0,172.53
171.08,AAPL,2018-02-21,1.0,0.0,171.77
172.52,AAPL,2018-02-22,1.0,0.0,173.21
175.52,AAPL,2018-02-23,1.0,0.0,176.23
178.96,AAPL,2018-02-26,1.0,0.0,179.68
178.4,AAPL,2018-02-27,1.0,0.0,179.12
178.12,AAPL,2018-02-28,1.0,0.0,178.84
175.0,AAPL,2018-03-01,1.0,0.0,175.7
176.2,AAPL,2018-03-02,1.0,0.0,176.91
176.84,AAPL,2018-03-05,1.0,0.0,177.55
176.68,AAPL,2018-03-06,1.0,0.0,177.39
175.04,AAPL,2018-03-07,1.0,0.0,175.75
176.96,AAPL,2018-03-08,1.0,0.0,177.67
180.0,AAPL,2018-03-09,1.0,0.0,180.73
181.72,AAPL,2018-03-12,1.0,0.0,182.45
179.96,AAPL,2018-03-13,1.0,0.0,180.68
178.44,AAPL,2018-03-14,1.0,0.0,179.16
178.64,AAPL,2018-03-15,1.0,0.0,179.36
178.04,AAPL,2018-03-16,1.0,0.0,178.76
175.32,AAPL,2018-03-19,1.0,0.0,176.03
175.24,AAPL,2018-03-20,1.0,0.0,175.95
171.28,AAPL,2018-03-21,1.0,0.0,171.97
168.84,AAPL,2018-03-22,1.0,0.0,169.52
164.96,AAPL,2018-03-23,1.0,0.0,165.62
172.76,AAPL,2018-03-26,1.0,0.0,173.46
168.36,AAPL,2018-03-27,1.0,0.0,169.04
166.48,AAPL,2018-03-28,1.0,0.0,167.15
167.8,AAPL,2018-03-29,1.0,0.0,168.48
166.68,AAPL,2018-04-02,1.0,0.0,167.35
168.4,AAPL,2018-04-03,1.0,0.0,169.08
171.6,AAPL,2018-04-04,1.0,0.0,172.29
172.8,AAPL,2018-04-05,1.0,0.0,173.5
168.4,AAPL,2018-04-06,1.0,0.0,169.08
170.04,AAPL,2018-04-09,1.0,0.0,170.72
173.24,AAPL,2018-04-10,1.0,0.0,173.94
172.44,AAPL,2018-04-11,1.0,0.0,173.13
174.16,AAPL,2018-04-12,1.0,0.0,174.86
174.72,AAPL,2018-04-13,1.0,0.0,175.42
175.84,AAPL,2018-04-16,1.0,0.0,176.55
178.24,AAPL,2018-04-17,1.0,0.0,178.96
177.84,AAPL,2018-04-18,1.0,0.0,178.56
172.8,AAPL,2018-04-19,1.0,0.0,173.5
165.72,AAPL,2018-04-20,1.0,0.0,166.39
165.24,AAPL,2018-04-23,1.0,0.0,165.91
162.96,AAPL,2018-04-24,1.0,0.0,163.62
163.64,AAPL,2018-04-25,1.0,0.0,164.3
164.24,AAPL,2018-04-26,1.0,0.0,164.9
162.32,AAPL,2018-04-27,1.0,0.0,162.97
165.28,AAPL,2018-04-30,1.0,0.0,165.95
169.12,AAPL,2018-05-01,1.0,0.0,169.8
176.56,AAPL,2018-05-02,1.0,0.0,177.27
176.88,AAPL,2018-05-03,1.0,0.0,177.59
183.84,AAPL,2018-05-04,1.0,0.0,184.58
185.16,AAPL,2018-05-07,1.0,0.0,185.91
186.04,AAPL,2018-05-08,1.0,0.0,186.79
187.36,AAPL,2018-05-09,1.0,0.0,188.11
190.04,AAPL,2018-05-10,1.0,0.0,190.81
188.6,AAPL,2018-05-11,1.0,0.73,189.36
188.16,AAPL,2018-05-14,1.0,0.0,189.65
186.44,AAPL,2018-05-15,1.0,0.0,187.92
188.2,AAPL,2018-05-16,1.0,0.0,189.69
187.0,AAPL,2018-05-17,1.0,0.0,188.48
186.32,AAPL,2018-05-18,1.0,0.0,187.79
187.64,AAPL,2018-05-21,1.0,0.0,189.13
187.16,AAPL,2018-05-22,1.0,0.0,188.64
188.36,AAPL,2018-05-23,1.0,0.0,189.85
188.16,AAPL,2018-05-24,1.0,0.0,189.65
188.6,AAPL,2018-05-25,1.0,0.0,190.09
187.92,AAPL,2018-05-29,1.0,0.0,189.41
187.52,AAPL,2018-05-30,1.0,0.0,189.0
186.88,AAPL,2018-05-31,1.0,0.0,188.36
190.24,AAPL,2018-06-01,1.0,0.0,191.75
191.84,AAPL,2018-06-04,1.0,0.0,193.36
193.32,AAPL,2018-06-05,1.0,0.0,194.85
194.0,AAPL,2018-06-06,1.0,0.0,195.54
193.48,AAPL,2018-06-07,1.0,0.0,195.01
191.72,AAPL,2018-06-08,1.0,0.0,193.24
191.24,AAPL,2018-06-11,1.0,0.0,192.75
192.28,AAPL,2018-06-12,1.0,0.0,193.8
190.72,AAPL,2018-06-13,1.0,0.0,192.23
190.8,AAPL,2018-06-14,1.0,0.0,192.31
188.84,AAPL,2018-06-15,1.0,0.0,190.33
188.76,AAPL,2018-06-18,1.0,0.0,190.25
185.68,AAPL,2018-06-19,1.0,0.0,187.15
186.52,AAPL,2018-06-20,1.0,0.0,188.0
185.48,AAPL,2018-06-21,1.0,0.0,186.95
184.92,AAPL,2018-06-22,1.0,0.0,186.38
182.16,AAPL,2018-06-25,1.0,0.0,183.6
184.44,AAPL,2018-06-26,1.0,0.0,185.9
184.16,AAPL,2018-06-27,1.0,0.0,185.62
185.52,AAPL,2018-06-28,1.0,0.0,186.99
185.12,AAPL,2018-06-29,1.0,0.0,186.59
187.2,AAPL,2018-07-02,1.0,0.0,188.68
183.92,AAPL,2018-07-03,1.0,0.0,185.38
185.4,AAPL,2018-07-05,1.0,0.0,186.87
187.96,AAPL,2018-07-06,1.0,0.0,189.45
190.6,AAPL,2018-07-09,1.0,0.0,192.11
190.36,AAPL,2018-07-10,1.0,0.0,191.87
187.88,AAPL,2018-07-11,1.0,0.0,189.37
191.04,AAPL,2018-07-12,1.0,0.0,192.55
191.32,AAPL,2018-07-13,1.0,0.0,192.83
190.92,AAPL,2018-07-16,1.0,0.0,192.43
191.44,AAPL,2018-07-17,1.0,0.0,192.96
190.4,AAPL,2018-07-18,1.0,0.0,191.91
191.88,AAPL,2018-07-19,1.0,0.0,193.4
191.44,AAPL,2018-07-20,1.0,0.0,192.96
191.6,AAPL,2018-07-23,1.0,0.0,193.12
193.0,AAPL,2018-07-24,1.0,0.0,194.53
194.84,AAPL,2018-07-25,1.0,0.0,196.38
194.2,AAPL,2018-07-26,1.0,0.0,195.74
191.0,AAPL,2018-07-27,1.0,0.0,192.51
189.92,AAPL,2018-07-30,1.0,0.0,191.42
190.28,AAPL,2018-07-31,1.0,0.0,191.79
201.52,AAPL,2018-08-01,1.0,0.0,203.11
207.4,AAPL,2018-08-02,1.0,0.0,209.04
208.0,AAPL,2018-08-03,1.0,0.0,209.65
209.08,AAPL,2018-08-06,1.0,0.0,210.73
207.12,AAPL,2018-08-07,1.0,0.0,208.76
207.24,AAPL,2018-08-08,1.0,0.0,208.88
208.88,AAPL,2018-08-09,1.0,0.0,210.53
207.52,AAPL,2018-08-10,1.0,0.73,209.16
208.88,AAPL,2018-08-13,1.0,0.0,211.27
209.76,AAPL,2018-08-14,1.0,0.0,212.16
210.24,AAPL,2018-08-15,1.0,0.0,212.65
213.32,AAPL,2018-08-16,1.0,0.0,215.76
217.6,AAPL,2018-08-17,1.0,0.0,220.09
215.48,AAPL,2018-08-20,1.0,0.0,217.95
215.04,AAPL,2018-08-21,1.0,0.0,217.5
215.04,AAPL,2018-08-22,1.0,0.0,217.5
215.48,AAPL,2018-08-23,1.0,0.0,217.95
216.16,AAPL,2018-08-24,1.0,0.0,218.64
217.96,AAPL,2018-08-27,1.0,0.0,220.46
219.72,AAPL,2018-08-28,1.0,0.0,222.24
223.0,AAPL,2018-08-29,1.0,0.0,225.56
225.04,AAPL,2018-08-30,1.0,0.0,227.62
227.64,AAPL,2018-08-31,1.0,0.0,230.25
228.36,AAPL,2018-09-04,1.0,0.0,230.98
226.88,AAPL,2018-09-05,1.0,0.0,229.48
223.12,AAPL,2018-09-06,1.0,0.0,225.68
221.32,AAPL,2018-09-07,1.0,0.0,223.86
218.32,AAPL,2018-09-10,1.0,0.0,220.82
223.84,AAPL,2018-09-11,1.0,0.0,226.41
221.08,AAPL,2018-09-12,1.0,0.0,223.61
226.4,AAPL,2018-09-13,1.0,0.0,228.99
223.84,AAPL,2018-09-14,1.0,0.0,226.41
217.88,AAPL,2018-09-17,1.0,0.0,220.38
218.24,AAPL,2018-09-18,1.0,0.0,220.74
218.36,AAPL,2018-09-19,1.0,0.0,220.86
220.04,AAPL,2018-09-20,1.0,0.0,222.56
217.68,AAPL,2018-09-21,1.0,0.0,220.17
220.8,AAPL,2018-09-24,1.0,0.0,223.33
222.2,AAPL,2018-09-25,1.0,0.0,224.75
220.44,AAPL,2018-09-26,1.0,0.0,222.97
224.96,AAPL,2018-09-27,1.0,0.0,227.54
225.76,AAPL,2018-09-28,1.0,0.0,228.35
227.28,AAPL,2018-10-01,1.0,0.0,229.88
229.28,AAPL,2018-10-02,1.0,0.0,231.91
232.08,AAPL,2018-10-03,1.0,0.0,234.74
228.0,AAPL,2018-10-04,1.0,0.0,230.61
224.28,AAPL,2018-10-05,1.0,0.0,226.85
223.76,AAPL,2018-10-08,1.0,0.0,226.32
226.88,AAPL,2018-10-09,1.0,0.0,229.48
216.36,AAPL,2018-10-10,1.0,0.0,218.84
214.44,AAPL,2018-10-11,1.0,0.0,216.9
222.12,AAPL,2018-10-12,1.0,0.0,224.67
217.36,AAPL,2018-10-15,1.0,0.0,219.85
222.16,AAPL,2018-10-16,1.0,0.0,224.71
221.2,AAPL,2018-10-17,1.0,0.0,223.73
216.04,AAPL,2018-10-18,1.0,0.0,218.52
219.32,AAPL,2018-10-19,1.0,0.0,221.83
220.64,AAPL,2018-10-22,1.0,0.0,223.17
222.72,AAPL,2018-10-23,1.0,0.0,225.27
215.08,AAPL,2018-10-24,1.0,0.0,217.54
219.8,AAPL,2018-10-25,1.0,0.0,222.32
216.32,AAPL,2018-10-26,1.0,0.0,218.8
212.24,AAPL,2018-10-29,1.0,0.0,214.67
213.32,AAPL,2018-10-30,1.0,0.0,215.76
